id,name,origin_port_id,dest_port_id,corridor_ids,distance_nm,avg_transit_days,base_freight_rate_per_mt,current_risk_score,is_operational,source,notes
1,Ras Tanura → Sikka (Hormuz),11,1,"1",1450,4.32,,0.30,TRUE,Sea-distances.org / industry reference,Primary Saudi → Jamnagar route via Hormuz
2,Ras Tanura → Mangalore (Hormuz),11,4,"1",1650,4.91,,0.30,TRUE,Sea-distances.org / industry reference,Saudi → MRPL Mangalore via Hormuz
3,Ras Tanura → Paradip (Hormuz),11,8,"1",3200,9.52,,0.30,TRUE,Sea-distances.org / industry reference,Saudi → IOC Paradip via Hormuz
4,ABOT → Sikka (Hormuz),12,1,"1",1500,4.46,,0.35,TRUE,Sea-distances.org / industry reference,Iraq ABOT → Jamnagar via Hormuz
5,ABOT → Kochi (Hormuz),12,5,"1",1800,5.36,,0.35,TRUE,Sea-distances.org / industry reference,Iraq ABOT → BPCL Kochi via Hormuz
6,ABOT → Paradip (Hormuz),12,8,"1",3300,9.82,,0.35,TRUE,Sea-distances.org / industry reference,Iraq ABOT → IOC Paradip via Hormuz
7,Fujairah → Sikka (Direct),14,1,,750,2.23,,0.15,TRUE,Sea-distances.org / industry reference,UAE Fujairah → Jamnagar direct (outside Hormuz)
8,Mina al-Ahmadi → Sikka (Hormuz),15,1,"1",1500,4.46,,0.30,TRUE,Sea-distances.org / industry reference,Kuwait → Jamnagar via Hormuz
9,Primorsk → Sikka (Suez+Red Sea),16,1,"2,3",6200,18.45,,0.40,TRUE,Sea-distances.org / industry reference,Russian Baltic (Urals) → Jamnagar via Suez
10,Kozmino → Paradip (Direct),17,8,,4500,13.39,,0.25,TRUE,Sea-distances.org / industry reference,Russian ESPO → IOC Paradip via Indian Ocean
11,Kozmino → Sikka (Direct),17,1,,5200,15.48,,0.25,TRUE,Sea-distances.org / industry reference,Russian ESPO → Jamnagar via Indian Ocean
12,Houston → Sikka (Atlantic/Cape),19,1,"6",9500,28.27,,0.10,TRUE,Sea-distances.org / industry reference,US Gulf → Jamnagar via Cape of Good Hope
13,Bonny → Kochi (Atlantic),20,5,,5200,15.48,,0.10,TRUE,Sea-distances.org / industry reference,Nigeria → BPCL Kochi via Indian Ocean
14,Ras Tanura → Sikka (Cape alt),11,1,"6",6500,19.35,,0.10,TRUE,Sea-distances.org / industry reference,Alternate: Saudi → Jamnagar via Cape when Hormuz disrupted
15,ABOT → Sikka (Cape alt),12,1,"6",6800,20.24,,0.10,TRUE,Sea-distances.org / industry reference,Alternate: Iraq → Jamnagar via Cape when Hormuz disrupted
